PathPy,experiment,sorted_edges,delta_time,max_path_length
156.121296,max_path_length,1086404,1.795941091954023,1
168.669342,max_path_length,1086404,1.795941091954023,2
163.53179800000004,max_path_length,1086404,1.795941091954023,3
144.63750699999997,max_path_length,1086404,1.795941091954023,4
141.957668,max_path_length,1086404,1.795941091954023,5
158.24547200000006,max_path_length,1086404,1.795941091954023,6
153.20836599999984,max_path_length,1086404,1.795941091954023,7
136.9939089999998,max_path_length,1086404,1.795941091954023,8
130.2297390000001,max_path_length,1086404,1.795941091954023,9
129.28118300000006,max_path_length,1086404,1.795941091954023,10
130.50239299999998,max_path_length,1086404,1.795941091954023,11
135.79279100000008,max_path_length,1086404,1.795941091954023,12
134.3899489999999,max_path_length,1086404,1.795941091954023,13
130.81533100000001,max_path_length,1086404,1.795941091954023,14
1.3427300000000741,sorted_edges,100000,1.795941091954023,4
4.723335000000134,sorted_edges,200000,1.795941091954023,4
10.101574999999912,sorted_edges,300000,1.795941091954023,4
16.392281999999796,sorted_edges,400000,1.795941091954023,4
24.223751999999877,sorted_edges,500000,1.795941091954023,4
34.704833999999664,sorted_edges,600000,1.795941091954023,4
46.16238199999998,sorted_edges,700000,1.795941091954023,4
60.83963499999982,sorted_edges,800000,1.795941091954023,4
81.59410399999979,sorted_edges,900000,1.795941091954023,4
105.9173350000001,sorted_edges,1000000,1.795941091954023,4
132.54056200000014,sorted_edges,1086404,1.795941091954023,4
136.6993540000003,delta_time,1086404,0.5986470306513411,4
140.63858400000026,delta_time,1086404,1.1972940613026821,4
142.36653400000023,delta_time,1086404,1.795941091954023,4
139.48644300000024,delta_time,1086404,2.3945881226053642,4
139.76625699999977,delta_time,1086404,2.993235153256705,4
134.95382699999982,delta_time,1086404,3.591882183908046,4
132.08572999999978,delta_time,1086404,4.190529214559387,4
133.6140519999999,delta_time,1086404,4.7891762452107285,4
130.637248,delta_time,1086404,5.387823275862069,4
130.47685500000034,delta_time,1086404,5.98647030651341,4
135.0048200000001,delta_time,1086404,6.585117337164752,4
127.06102699999974,delta_time,1086404,7.183764367816092,4
