PaCo2,experiment,sorted_edges,delta_time,max_path_length
2.046224,max_path_length,1086404,1.795941091954023,1
3.578868000000001,max_path_length,1086404,1.795941091954023,2
5.1340520000000005,max_path_length,1086404,1.795941091954023,3
7.099172000000001,max_path_length,1086404,1.795941091954023,4
8.544286,max_path_length,1086404,1.795941091954023,5
9.678460000000001,max_path_length,1086404,1.795941091954023,6
10.324388999999996,max_path_length,1086404,1.795941091954023,7
10.853110000000001,max_path_length,1086404,1.795941091954023,8
11.003973000000009,max_path_length,1086404,1.795941091954023,9
11.124135999999993,max_path_length,1086404,1.795941091954023,10
10.777917000000002,max_path_length,1086404,1.795941091954023,11
13.641086000000001,max_path_length,1086404,1.795941091954023,12
16.080377,max_path_length,1086404,1.795941091954023,13
10.313024999999996,max_path_length,1086404,1.795941091954023,14
0.5527739999999994,sorted_edges,100000,1.795941091954023,4
0.9850160000000017,sorted_edges,200000,1.795941091954023,4
1.8081619999999816,sorted_edges,300000,1.795941091954023,4
2.6102300000000014,sorted_edges,400000,1.795941091954023,4
3.4956590000000176,sorted_edges,500000,1.795941091954023,4
5.053021000000001,sorted_edges,600000,1.795941091954023,4
7.5699889999999925,sorted_edges,700000,1.795941091954023,4
6.259512000000001,sorted_edges,800000,1.795941091954023,4
6.1525120000000015,sorted_edges,900000,1.795941091954023,4
6.691479999999984,sorted_edges,1000000,1.795941091954023,4
7.123440000000016,sorted_edges,1086404,1.795941091954023,4
3.740534999999994,delta_time,1086404,0.5986470306513411,4
5.270522,delta_time,1086404,1.1972940613026821,4
6.90795,delta_time,1086404,1.795941091954023,4
9.070795000000004,delta_time,1086404,2.3945881226053642,4
12.810506000000004,delta_time,1086404,2.993235153256705,4
15.212738000000002,delta_time,1086404,3.591882183908046,4
14.779136000000022,delta_time,1086404,4.190529214559387,4
15.731882000000013,delta_time,1086404,4.7891762452107285,4
21.315926999999988,delta_time,1086404,5.387823275862069,4
24.637811,delta_time,1086404,5.98647030651341,4
26.130822999999964,delta_time,1086404,6.585117337164752,4
27.754685999999992,delta_time,1086404,7.183764367816092,4
