experiment,PaCo,sorted_edges,delta_time,max_path_length
delta_time,492.10846197900014,63497050,0.5986470306513411,4
delta_time,881.2466634909999,63497050,1.1972940613026821,4
delta_time,1241.625816022,63497050,1.795941091954023,4
delta_time,1612.1639108,63497050,2.3945881226053642,4
delta_time,1998.508900977,63497050,2.993235153256705,4
delta_time,2586.642525967999,63497050,3.591882183908046,4
delta_time,3326.3855535860002,63497050,4.190529214559387,4
delta_time,3917.9382661169984,63497050,4.7891762452107285,4
delta_time,4401.597617047999,63497050,5.387823275862069,4
delta_time,5097.974712192001,63497050,5.98647030651341,4
delta_time,5880.138521633002,63497050,6.585117337164752,4
delta_time,7087.223994376,63497050,7.183764367816092,4
