experiment,PaCo2,sorted_edges,delta_time,max_path_length
delta_time,371.22785809699997,63497050,0.5986470306513411,4
delta_time,479.1348831120001,63497050,1.1972940613026821,4
delta_time,523.830490691,63497050,1.795941091954023,4
delta_time,450.17935659700015,63497050,2.3945881226053642,4
delta_time,628.239050102,63497050,2.993235153256705,4
delta_time,557.1279310310001,63497050,3.591882183908046,4
delta_time,556.6414528649998,63497050,4.190529214559387,4
delta_time,562.4256206750006,63497050,4.7891762452107285,4
delta_time,656.4646216850006,63497050,5.387823275862069,4
delta_time,596.1561500799999,63497050,5.98647030651341,4
delta_time,696.2953211060003,63497050,6.585117337164752,4
delta_time,718.3596781589995,63497050,7.183764367816092,4
