experiment,PaCo,sorted_edges,delta_time,max_path_length
max_path_length,1156.5456708930003,63497050,1.795941091954023,1
max_path_length,1189.882149513,63497050,1.795941091954023,2
max_path_length,1202.7585003870004,63497050,1.795941091954023,3
max_path_length,1184.7333394590005,63497050,1.795941091954023,4
max_path_length,1194.3390593249997,63497050,1.795941091954023,5
max_path_length,1207.3808479339996,63497050,1.795941091954023,6
max_path_length,1207.2684842569997,63497050,1.795941091954023,7
max_path_length,1298.041656072999,63497050,1.795941091954023,8
max_path_length,1287.9083404249996,63497050,1.795941091954023,9
max_path_length,1216.0335956380004,63497050,1.795941091954023,10
max_path_length,1296.899690967999,63497050,1.795941091954023,11
max_path_length,1222.2529959349995,63497050,1.795941091954023,12
max_path_length,1273.042072458,63497050,1.795941091954023,13
max_path_length,1300.151123822001,63497050,1.795941091954023,14
