experiment,PaCo,sorted_edges,delta_time,max_path_length
delta_time,8.998835,2172808,0.5986470306513411,4
delta_time,270.17798300000004,2172808,1.1972940613026821,4
delta_time,270.089564,2172808,1.795941091954023,4
delta_time,629.992456,2172808,2.3945881226053642,4
delta_time,632.0756289999999,2172808,2.993235153256705,4
delta_time,1035.2286620000002,2172808,3.591882183908046,4
delta_time,1031.5157829999998,2172808,4.190529214559387,4
delta_time,1436.6926909999997,2172808,4.7891762452107285,4
delta_time,1441.7100460000001,2172808,5.387823275862069,4
delta_time,1859.6313709999995,2172808,5.98647030651341,4
delta_time,3630.5409930000005,2172808,6.585117337164752,4
delta_time,4004.715872999999,2172808,7.183764367816092,4
