experiment,PaCo2,sorted_edges,delta_time,max_path_length
delta_time,17.590547,2172808,0.5986470306513411,4
delta_time,794.756866,2172808,1.1972940613026821,4
delta_time,972.9303479999999,2172808,1.795941091954023,4
delta_time,1565.864256,2172808,2.3945881226053642,4
delta_time,1279.9016840000004,2172808,2.993235153256705,4
delta_time,2026.1316020000004,2172808,3.591882183908046,4
delta_time,2272.9043250000004,2172808,4.190529214559387,4
delta_time,3242.424144999999,2172808,4.7891762452107285,4
delta_time,3205.6197840000004,2172808,5.387823275862069,4
delta_time,3942.4540720000005,2172808,5.98647030651341,4
delta_time,4631.442146000001,2172808,6.585117337164752,4
delta_time,3720.8644730000015,2172808,7.183764367816092,4
