experiment,PaCo2,sorted_edges,delta_time,max_path_length
sorted_edges,24.929553999999996,100000,1.795941091954023,4
sorted_edges,47.59075,200000,1.795941091954023,4
sorted_edges,69.847167,300000,1.795941091954023,4
sorted_edges,81.76383899999999,400000,1.795941091954023,4
sorted_edges,122.27761699999999,500000,1.795941091954023,4
sorted_edges,179.53688100000005,600000,1.795941091954023,4
sorted_edges,221.12512500000003,700000,1.795941091954023,4
sorted_edges,299.76875700000005,800000,1.795941091954023,4
sorted_edges,356.58967499999994,900000,1.795941091954023,4
sorted_edges,400.85512700000004,1000000,1.795941091954023,4
sorted_edges,490.958842,1100000,1.795941091954023,4
sorted_edges,596.9288779999997,1200000,1.795941091954023,4
sorted_edges,738.0283839999997,1300000,1.795941091954023,4
sorted_edges,780.4024549999999,1400000,1.795941091954023,4
sorted_edges,706.0054209999998,1500000,1.795941091954023,4
sorted_edges,582.7483759999996,1600000,1.795941091954023,4
sorted_edges,584.9278059999997,1700000,1.795941091954023,4
sorted_edges,568.9819690000004,1800000,1.795941091954023,4
sorted_edges,579.2492189999994,1900000,1.795941091954023,4
sorted_edges,623.5851870000006,2000000,1.795941091954023,4
sorted_edges,648.8771610000003,2100000,1.795941091954023,4
sorted_edges,680.2896009999986,2172808,1.795941091954023,4
