experiment,PaCo2,sorted_edges,delta_time,max_path_length
max_path_length,539.708854642,63497050,1.795941091954023,1
max_path_length,655.7113515609999,63497050,1.795941091954023,2
max_path_length,656.5396930020001,63497050,1.795941091954023,3
max_path_length,676.3326974460001,63497050,1.795941091954023,4
max_path_length,560.0384850700002,63497050,1.795941091954023,5
max_path_length,639.0280047830001,63497050,1.795941091954023,6
max_path_length,642.7465904390001,63497050,1.795941091954023,7
max_path_length,627.5131604259996,63497050,1.795941091954023,8
max_path_length,636.1732221679995,63497050,1.795941091954023,9
max_path_length,652.7400853180006,63497050,1.795941091954023,10
max_path_length,555.0391378160002,63497050,1.795941091954023,11
max_path_length,645.5866676069991,63497050,1.795941091954023,12
max_path_length,653.6301383549999,63497050,1.795941091954023,13
max_path_length,725.4028432920004,63497050,1.795941091954023,14
