experiment,PaCo,sorted_edges,delta_time,max_path_length
sorted_edges,13.343699,100000,1.795941091954023,4
sorted_edges,25.681675000000002,200000,1.795941091954023,4
sorted_edges,37.08914,300000,1.795941091954023,4
sorted_edges,43.17971600000001,400000,1.795941091954023,4
sorted_edges,59.884150000000005,500000,1.795941091954023,4
sorted_edges,82.476598,600000,1.795941091954023,4
sorted_edges,104.03291099999996,700000,1.795941091954023,4
sorted_edges,132.28787799999998,800000,1.795941091954023,4
sorted_edges,151.51626399999998,900000,1.795941091954023,4
sorted_edges,168.69435599999997,1000000,1.795941091954023,4
sorted_edges,196.69761099999994,1100000,1.795941091954023,4
sorted_edges,235.02966199999992,1200000,1.795941091954023,4
sorted_edges,265.6226220000001,1300000,1.795941091954023,4
sorted_edges,334.008683,1400000,1.795941091954023,4
sorted_edges,333.8619470000001,1500000,1.795941091954023,4
sorted_edges,453.8788830000003,1600000,1.795941091954023,4
sorted_edges,523.3814809999999,1700000,1.795941091954023,4
sorted_edges,395.9825189999997,1800000,1.795941091954023,4
sorted_edges,440.14068199999974,1900000,1.795941091954023,4
sorted_edges,429.9441339999994,2000000,1.795941091954023,4
sorted_edges,416.89388599999984,2100000,1.795941091954023,4
sorted_edges,400.12911499999973,2172808,1.795941091954023,4
