experiment,PaCo,sorted_edges,delta_time,max_path_length
delta_time,25.819954219999996,2172808,0.5986470306513411,4
delta_time,1060.113323787,2172808,1.1972940613026821,4
delta_time,890.971900405,2172808,1.795941091954023,4
delta_time,2168.6391950069997,2172808,2.3945881226053642,4
delta_time,2168.1418817699996,2172808,2.993235153256705,4
delta_time,3830.883219481,2172808,3.591882183908046,4
delta_time,4098.811963253,2172808,4.190529214559387,4
delta_time,6045.323539666999,2172808,4.7891762452107285,4
delta_time,6051.862898111001,2172808,5.387823275862069,4
delta_time,8188.984870048,2172808,5.98647030651341,4
delta_time,11028.390990704,2172808,6.585117337164752,4
delta_time,10533.709912455,2172808,7.183764367816092,4
