experiment,PaCo2,sorted_edges,delta_time,max_path_length
sorted_edges,66.259737942,100000,1.795941091954023,4
sorted_edges,126.267965347,200000,1.795941091954023,4
sorted_edges,176.352417738,300000,1.795941091954023,4
sorted_edges,207.14023505999995,400000,1.795941091954023,4
sorted_edges,460.02229657399994,500000,1.795941091954023,4
sorted_edges,437.481623853,600000,1.795941091954023,4
sorted_edges,566.673358667,700000,1.795941091954023,4
sorted_edges,721.0259473800002,800000,1.795941091954023,4
sorted_edges,812.8078150720003,900000,1.795941091954023,4
sorted_edges,889.5226929560004,1000000,1.795941091954023,4
sorted_edges,1066.001738762,1100000,1.795941091954023,4
sorted_edges,1336.6523992600005,1200000,1.795941091954023,4
sorted_edges,1399.6674687839995,1300000,1.795941091954023,4
sorted_edges,1531.05568924,1400000,1.795941091954023,4
sorted_edges,1696.7006671550007,1500000,1.795941091954023,4
sorted_edges,1692.2891586080004,1600000,1.795941091954023,4
sorted_edges,1913.4427698090003,1700000,1.795941091954023,4
sorted_edges,1848.8729929729998,1800000,1.795941091954023,4
sorted_edges,1837.959112919998,1900000,1.795941091954023,4
sorted_edges,1881.4248564230002,2000000,1.795941091954023,4
sorted_edges,1925.1619636340001,2100000,1.795941091954023,4
sorted_edges,1902.0984926429992,2172808,1.795941091954023,4
