PaCo,PaCo2,Pathpy,experiment,sorted_edges,delta_time,max_path_length
5.801206999999991,6.082661999999999,5.61864700000001,sorted_edges,217280,30,4
13.504244,25.193108999999993,18.809358000000003,sorted_edges,434560,30,4
23.213925000000017,64.05421899999999,39.732147999999995,sorted_edges,651840,30,4
28.602250000000026,138.44262099999997,74.76775500000002,sorted_edges,869120,30,4
32.863737000000015,289.478168,127.71418100000005,sorted_edges,1086400,30,4
13.705009000000132,289.43919000000005,128.1526409999999,delta_time,1086404,10,4
23.192686999999978,285.2866140000001,129.8999020000001,delta_time,1086404,20,4
32.65870199999995,295.83012199999985,131.11271799999986,delta_time,1086404,30,4
40.342805000000226,267.4142320000001,120.68109900000036,delta_time,1086404,40,4
47.26889900000015,280.6380830000003,129.29005300000017,delta_time,1086404,50,4
28.221758000000136,280.032158,130.37164299999995,max_path_length,1086404,30,1
29.93878599999971,296.027924,132.1521389999998,max_path_length,1086404,30,2
32.574029999999766,301.26756099999966,129.8144229999998,max_path_length,1086404,30,3
32.375224000000344,312.2295210000002,130.4935999999998,max_path_length,1086404,30,4
33.45435600000019,321.257345,136.59589500000038,max_path_length,1086404,30,5
33.740961999999854,306.7985289999997,131.14877700000034,max_path_length,1086404,30,6
